A,31.28,7.18,3.91,0.82,1.21,4.35,4.26,8.29,6.02,4.29,8.37,4.12,45.21,17.25,4.17,1.84,2.16,3.57,6.9,19.36,6.51,5.69,19.9,7.58,142.46,43.38,17.88,14.85,17.73,25.1,30.77,61.4,32.74,31.48,62.78,31.27,391.1,98.46,42.04,52.72,50.75,44.08,86.94,149.66,99.9,92.27,151.67,88.01,541.56,107.87,95.28,67.84,56.66,66.1,128.28,165.78,164.19,162.51,169.59,129.72,25.64,15.28,5.51,0.03,0.0,0.01,1.51,15.28,5.54,5.95,16.4,1.79
a2,40.25,13.32,0.64,0.66,0.79,0.75,2.05,13.89,1.33,1.27,13.42,2.05,50.4,18.08,2.44,1.93,1.89,2.21,3.67,20.27,4.73,3.87,18.62,3.47,153.83,39.83,18.58,16.34,17.06,23.56,32.83,58.15,35.73,33.47,54.63,32.83,390.32,89.05,46.97,57.52,53.85,43.99,89.6,141.11,107.75,105.77,142.59,87.82,551.7,114.93,99.42,64.78,52.73,55.91,126.12,168.7,164.78,162.78,164.4,125.43,23.35,11.93,7.2,0.09,0.0,0.0,1.01,11.93,7.44,8.23,13.13,0.83
B,40.66,1.57,2.28,2.1,1.65,11.84,2.97,3.8,4.76,4.12,3.44,3.49,53.17,5.46,3.45,3.21,3.11,11.82,8.45,8.44,7.28,6.91,8.85,8.69,155.99,14.7,22.55,23.33,18.98,36.75,34.99,33.06,45.01,44.59,33.51,35.86,404.63,69.59,50.86,43.53,50.34,75.42,120.58,117.74,93.92,89.83,111.88,109.96,573.72,103.07,98.18,79.4,56.86,62.46,160.76,152.71,163.44,161.41,147.63,153.4,19.19,8.21,7.35,0.17,0.0,0.02,5.04,8.21,7.35,4.07,5.85,4.38
b2,39.39,1.42,2.35,2.31,2.21,11.87,2.92,3.41,5.14,4.7,4.13,3.59,44.86,3.33,3.24,2.92,3.41,14.4,5.13,6.2,7.03,6.14,6.7,6.54,160.46,19.7,19.15,14.8,18.35,38.35,38.48,36.05,35.2,33.23,37.49,39.9,430.96,49.74,68.49,55.51,56.54,84.9,119.29,106.07,126.43,114.5,112.03,102.68,575.11,105.57,84.19,70.23,49.38,59.03,147.69,152.45,151.04,152.91,154.21,147.65,19.47,7.23,8.19,0.56,0.0,0.03,2.29,7.23,8.24,7.47,7.82,2.37
C,41.55,2.81,4.54,4.25,5.97,10.13,10.8,8.67,8.78,9.33,10.15,10.3,47.53,5.49,5.44,4.26,6.27,9.86,14.96,12.2,10.48,9.86,12.14,15.81,184.72,24.73,27.17,26.65,27.53,33.45,53.99,51.64,55.38,53.71,51.87,54.7,302.61,36.85,31.73,34.97,43.81,61.87,103.77,86.49,70.02,67.61,79.57,101.94,675.45,131.38,101.46,61.89,39.35,36.71,188.68,172.13,164.48,157.17,166.03,186.43,0.62,0.28,0.34,0.0,0.0,0.0,0.04,0.28,0.34,0.24,0.3,0.04
c2,38.16,2.73,4.33,3.04,4.63,12.6,8.51,7.73,8.43,6.68,7.61,9.23,45.61,4.54,5.33,4.45,5.37,13.25,13.64,10.6,10.55,9.49,10.04,14.15,174.02,23.79,24.31,21.04,20.66,30.82,51.09,45.68,45.48,45.6,45.91,51.84,331.16,39.42,38.25,44.13,53.03,60.16,99.69,97.05,87.19,84.28,93.45,97.17,672.8,122.53,98.11,65.07,40.85,44.34,180.31,163.61,164.07,164.13,169.25,178.73,1.08,0.06,0.0,0.0,0.0,0.0,0.01,0.06,0.0,0.45,0.57,0.05
d,44.68,1.67,2.93,2.3,2.08,15.59,5.15,3.64,5.64,4.74,3.91,5.09,65.54,6.48,6.32,4.56,3.86,20.82,13.36,11.23,11.36,10.32,10.07,14.68,164.51,15.05,22.22,22.81,20.35,43.31,34.54,37.32,45.77,45.39,35.41,35.86,325.1,50.09,31.91,31.81,42.28,83.44,92.15,93.76,65.07,64.27,93.16,96.2,650.82,100.4,96.45,88.92,77.67,79.72,182.22,174.41,179.74,178.51,174.15,179.41,0.39,0.14,0.36,0.0,0.0,0.0,0.0,0.14,0.36,0.34,0.05,0.0
d2,41.65,1.45,2.8,1.9,1.93,14.93,3.5,3.35,5.86,3.94,3.88,3.65,49.37,2.65,3.16,2.97,3.05,17.75,5.82,5.58,6.78,6.36,5.83,7.1,164.96,17.15,16.8,17.18,20.57,46.3,36.31,37.39,35.59,33.7,37.95,39.54,381.62,49.09,52.89,51.52,49.07,83.38,94.04,99.63,107.82,104.0,98.46,95.48,616.34,99.95,89.68,79.29,72.17,83.09,162.88,174.05,168.71,165.0,172.5,165.8,2.29,0.07,0.91,0.15,0.0,0.0,0.0,0.07,1.17,2.05,0.13,0.0
e,70.62,0.46,0.53,0.53,0.64,15.63,0.89,0.88,0.92,1.0,1.12,0.94,92.45,6.84,1.9,1.57,1.25,15.5,9.3,8.3,3.28,3.36,8.33,9.12,203.48,7.24,22.7,26.09,18.63,36.49,19.24,25.78,49.6,48.8,25.91,19.24,480.78,71.31,47.71,32.46,48.96,77.83,106.14,123.02,81.09,79.19,122.11,108.42,606.53,107.54,83.59,52.62,26.58,45.41,162.98,132.59,135.7,144.63,138.27,157.36,31.39,11.63,7.29,0.0,0.0,0.03,5.31,11.63,7.29,7.21,12.65,6.19
e2,65.02,0.49,0.64,0.47,0.45,17.94,1.0,1.12,1.29,1.05,1.03,1.0,80.93,2.0,2.21,1.89,1.8,20.07,3.64,3.98,4.2,3.78,3.51,3.41,215.84,22.42,17.81,7.53,11.92,39.72,37.27,34.53,26.01,25.03,33.65,36.17,465.23,53.38,62.72,63.66,50.0,78.25,92.79,102.91,128.29,120.86,102.06,93.33,583.22,116.0,81.97,47.6,29.17,55.3,164.77,144.73,125.77,124.17,139.72,155.02,36.68,16.71,6.74,0.0,0.0,0.16,9.32,16.71,6.74,4.16,14.45,8.59
